,ticker,name,market_cap,sector,industry
0,PHSP.L,WisdomTree Physical Silver,19237576860878,Financial Services,Asset Management
1,CUS1.L,iShares VII PLC - iShares MSCI USA Small Cap ESG Enhanced UCITS ETF USD (Acc),18814904215716,Financial Services,Asset Management
2,JERE.L,JPMorgan ETFs (Ireland) ICAV - Europe Research Enhanced Index Equity (ESG) UCITS ETF,15339936213852,Financial Services,Asset Management
3,XOM.MX,Exxon Mobil Corporation,9691173450000,Energy,Oil & Gas Integrated
4,CE71.L,iShares VII PLC - iShares € Govt Bond 3-7yr UCITS ETF EUR (Acc),7316778997028,Financial Services,Asset Management
5,BRNG.L,WisdomTree Brent Crude Oil,6920375080575,Financial Services,Asset Management
6,SEMG.L,Amundi MSCI Semiconductors ESG Screened UCITS ETF,6099608113365,Financial Services,Asset Management
7,RIEG.L,L&G Europe Equity (Responsible Exclusions) UCITS ETF,5762806374014,Financial Services,Asset Management
8,NVDA.NE,NVIDIA Corporation,5029306695821,Technology,Semiconductors
9,AAPL.NE,Apple Inc.,4821035482185,Technology,Consumer Electronics
10,MSFT.NE,Microsoft Corporation,4621540026089,Technology,Software - Infrastructure
11,ICSU.L,iShares V PLC - iShares S&P 500 Consumer Staples Sector UCITS ETF,4121295199463,Financial Services,Asset Management
12,AMZN.NE,"Amazon.com, Inc.",3554950536028,Consumer Cyclical,Specialty Retail
13,GOOG.NE,Alphabet Inc.,3540254829821,Communication Services,Internet Content & Information
14,NVDA,NVIDIA Corporation,3492763800000,Technology,Semiconductors
15,NVD.DE,NVIDIA Corporation,3377171000000,Technology,Semiconductors
16,AAPL,Apple Inc.,3350143362000,Technology,Consumer Electronics
17,NVD.F,NVIDIA Corporation,3333089000000,Technology,Semiconductors
18,MSFT,Microsoft Corporation,3301532812800,Technology,Software - Infrastructure
19,APC.F,Apple Inc.,3192546170000,Technology,Consumer Electronics
20,APC.DE,Apple Inc.,3185779115000,Technology,Consumer Electronics
21,MSF.DE,Microsoft Corporation,3154619584000,Technology,Software - Infrastructure
22,MSF.F,Microsoft Corporation,3137519360000,Technology,Software - Infrastructure
23,MLPQ.L,Invesco Morningstar US Energy Infrastructure MLP UCITS ETF,2697429360109,Financial Services,Asset Management
24,GGRG.L,WisdomTree Global Quality Dividend Growth UCITS ETF,2553828078648,Financial Services,Asset Management - Global
25,CCL.L,Carnival Corporation & plc,2553819738118,Consumer Cyclical,Leisure
26,RIOL.L,Lyxor MSCI Brazil UCITS ETF,2507821873913,Financial Services,Asset Management
27,LMT.MX,Lockheed Martin Corporation,2472038015000,Industrials,Aerospace & Defense
28,AMZN,"Amazon.com, Inc.",2469447825152,Consumer Cyclical,Specialty Retail
29,GOOGL,Alphabet Inc.,2460123081194,Communication Services,Internet Content & Information
30,GOOG,Alphabet Inc.,2459724724790,Communication Services,Internet Content & Information
31,ABEA.F,Alphabet Inc.,2374039794987,Communication Services,Internet Content & Information
32,ABEC.F,Alphabet Inc.,2371711916906,Communication Services,Internet Content & Information
33,ABEA.DE,Alphabet Inc.,2362322912664,Communication Services,Internet Content & Information
34,ABEC.DE,Alphabet Inc.,2362322912547,Communication Services,Internet Content & Information
35,AMZ.DE,"Amazon.com, Inc.",2344319250000,Consumer Cyclical,Specialty Retail
36,VSMPX,Vanguard Total Stock Mkt Idx Instl Pls,2330716536675,,
37,UPS.MX,"United Parcel Service, Inc.",2314591488900,Industrials,Integrated Freight & Logistics
38,META.NE,"Meta Platforms, Inc.",2312843558886,Communication Services,Internet Content & Information
39,TSLA.NE,"Tesla, Inc.",1904971192898,Consumer Cyclical,Auto - Manufacturers
40,AGAP.L,WisdomTree Agriculture,1725511792104,Financial Services,Asset Management
41,AT1D.L,Invesco AT1 Capital Bond ETF,1682473222389,Financial Services,Asset Management - Bonds
42,META,"Meta Platforms, Inc.",1634580965626,Communication Services,Internet Content & Information
43,FB2A.F,"Meta Platforms, Inc.",1576256899968,Communication Services,Internet Content & Information
44,FB2A.DE,"Meta Platforms, Inc.",1569599544640,Communication Services,Internet Content & Information
45,UB17.L,UBS (Lux) Fund Solutions – MSCI EMU Value UCITS ETF,1539439239468,Financial Services,Asset Management
46,CARP.L,WisdomTree Carbon,1499541564646,Financial Services,Asset Management
47,AUCP.L,L&G Gold Mining UCITS ETF,1496190381630,Financial Services,Asset Management
